,user,Tweet,Time
107,Unlearning1,"Kimdate: (Note pad To The Ready) Avoiding Inflation, Kim Losing A Title &amp; Putin's Speech Plus Much More Name Drops 👇 https://t.co/aaeV96mjpL #inflation #putin #ukraine #multiverse #geonews #worldnews",2022-06-23 07:45:32+00:00
108,ProfessorP5,"For #Putin, from its earliest onset, his war in #Ukraine has been as much about his own power &amp; historical status, as about expanding #Russia's sphere of influence [back] over strategic coastal waters: from the Sea of Azov, to the Black and Baltic Seas, and even into the Arctic. https://t.co/3IZxYCo2Tp https://t.co/q6KqkmF1LJ",2022-06-23 07:44:55+00:00
109,sasan99gh43,"RT @HerryNapit: Russia - Ukraine war: Phone calls intercepted by Ukrainian intel &gt;&gt;&gt;&gt;&gt; Russian soldiers eat dogs, and come back home in clo…",2022-06-23 07:44:30+00:00
110,TLlanelli,"@NATO @POTUS deliver more planes an weapons that #Ukraine asked for and surround Kalingrad with more planes and weapons, ready to defend Luthiania and defeat #Putin 

NATO 32 countries 1.1Billion v Putin 140million people

NATO military huge compared to Russia https://t.co/0uAFgaGNf4 https://t.co/oxWoFlVAPV",2022-06-23 07:42:20+00:00
111,Randypeacock18,"Putin reportedly slapped one of his personal aides after he overheard them saying that Borris Johnson had a real 
Russian name . Putin went into a fit of   rage and slapped the man multiple times. #Ukraine  #putin #UkraineUnderAttaсk  #borris #Conservatives https://t.co/xo45O0iToa",2022-06-23 07:41:03+00:00
112,SaveMyanmarPeo2,"RT @HerryNapit: #Russia's invasion of #Ukraine worsens crises in Afghanistan, Lebanon, Myanmar, Palestine, Syria, Yemen, Tigray, Africa.…",2022-06-23 07:39:48+00:00
113,jimmy_jarkarta,RT @raging545: IMAGE from Moscow outside the US Enbassy of Russia changing the name of the street in front the Enbassy to “Donetsk People’s…,2022-06-23 07:37:12+00:00
114,wroldnews369,"#Russia #Ukraine #Putin #Biden
America is a nation that can be defined in a single word: must be watch is video
https://t.co/LxyUSIUqV9",2022-06-23 07:34:27+00:00
115,bloomsbury1918,"I love the part where Joe Messiah Biden is going to help reduce the cost of food - it's confusing the cost of gas - with tons of grain of #Ukraine I don't understand how Ukrainian cerals will reduce supply chain pressure from other sectors BUT —The economist is #Putin

#Russia",2022-06-23 07:32:05+00:00
116,dwntwnT,RT @ActionTime: #RussianLosses Are HUGE: #Russian momentum in #Ukraine Could SLOW as #Russia Exhausts Resources #StopPutinNow #PutinsWarCri…,2022-06-23 07:29:02+00:00
117,ButchBaydala,"⬆️⬆️⬆️⬆️⬆️👁️👁️⬆️⬆️⬆️⬆️⬆️

This is Day 120 of the #Russian  intervention ➡️ #Ukraine 
Thursday June 23, 2022. 📺 👀

#Live Russian TV #Moscow

🇺🇦🇺🇦 #UkraineRussianWar 🇷🇺🇷🇺
#Russia  #Putin 👨‍👩‍👦‍👦 🎧

🍵",2022-06-23 07:28:57+00:00
118,anyfinn,Zelensky's Ukraine is real. Putin's doesn't exist. #UkraineRussiaWar  #ukraine #PutinWarCrimes #PutinsWar #solidarityWithUkraine  #warcrimes #putin #StopTheWar #PeaceInUkraine #VolodymyrZelensky #Zelensky #anguish https://t.co/griPBqegbR,2022-06-23 07:28:20+00:00
119,Wennderwendsof1,"RT @bjcaffe: Found the real reason #Putin started the war in #Ukraine.

UNESCO is making Borsch an Official Ukrainian food. #Putin wants it…",2022-06-23 07:28:03+00:00
120,bloomsbury1918,"""Joe Biden and Volodymyr Zelensky won't say it, and Vladimir #Putin can't. But #Ukraine is winning the war"" — Awww that's... wait..where? 😂🎪🎶🤡

#Russia https://t.co/0eZN0oYMRx",2022-06-23 07:25:46+00:00
121,200127namjoon,"RT @nexta_tv: Aleksey Zhuravlyov is a member of State Duma and leader of the right-wing extremist party ""Rodina"" which openly supports Vlad…",2022-06-23 07:25:26+00:00
122,christin_stile,"RT @WarAgainstPutin: Russian orcs dismantled and stole the biggest solar power station in #Ukraine, Tokmak Solar Energy. This is what Russi…",2022-06-23 07:24:18+00:00
