,user,Tweet,Time
78,RudiGinkel,"@vrtnws Waarom laat de @UN ook dit gewoon gebeuren? Ik dacht dat deze organisatie tijdens #WW2 was opgericht om de mensheid tegen onrechtvaardigheden te beschermen. #Ukraine, #Putin, #Myanmar  tonen aan dat het een machteloze troep is.",2022-06-23 09:10:55+00:00
79,ArseneObserver,"Qui est le clown ? La question dont la réponse tourne en boucle…
#guerre
#guerreRussieUkraine 
#ukraine
#russia
#war
#peace
#warend
#arseneobserver
#Zelensky 
#poutine
#putin
#clown https://t.co/gSMUu2hNHP",2022-06-23 09:09:03+00:00
80,2021Reinvictus,"@fanpage Spesso queste manifestazioni isteriche sono frutto della mancanza di appagamento nella sfera sessuale...

#Zelensky #Russia #Putin #Wagner #Ukraine #Salvini #PutinWarCrimes #RussianArmy #RussianWarCrimes #Mariupol #Odessa #Moskva #Azov #SlavaUkraini",2022-06-23 09:08:28+00:00
81,bundestag_tweet,RT @fdp_hessel: Die #Ukraine braucht unsere dauerhafte materielle aber auch politische Unterstützung gegen #Putin &amp; seinen Vernichtungskrie…,2022-06-23 09:06:16+00:00
82,RainerRogge,"RT @Graf_Anarcho: Tag 120 des Angriffskrieges gegen die #Ukraine 🇺🇦 
#Putin ist ein Kriegsverbrecher!

👇
#Путин - военный преступник! 
Puti…",2022-06-23 09:03:48+00:00
83,engel50wesen,"RT @wolff_ernst: Der #ukrainische #Botschafter #Andriij #Melnyk zum #Spiegel: ""#Putin ist wie eine Symbiose aus #Hitler &amp; #Stalin.""
In mein…",2022-06-23 09:02:04+00:00
84,ierodidaskalos,"RT @KYTKYTKYTKYTKYT: Και για άλλη μια φορά επιβεβαιώνεται ότι δεν υπάρχει Ναζισμός στην Ουκρανία...

#Ουκρανια #Πουτιν #putin #Rusia #Ukrai…",2022-06-23 09:00:49+00:00
85,JerryStreitz,"RT @WarAgainstPutin: Russian orcs dismantled and stole the biggest solar power station in #Ukraine, Tokmak Solar Energy. This is what Russi…",2022-06-23 09:00:38+00:00
86,indian_ukraine,"RT @KIAAcademYsir: 💡DAY-116 ... Stop WAR  &amp;  Make PEACE ..🕊️

#UkraineRussiaWar #NATO #Ukraine #RussianUkrainianWar #RussiaUkraine   #WARIN…",2022-06-23 09:00:32+00:00
87,VMdesignblogg,"RT @KYTKYTKYTKYTKYT: Και για άλλη μια φορά επιβεβαιώνεται ότι δεν υπάρχει Ναζισμός στην Ουκρανία...

#Ουκρανια #Πουτιν #putin #Rusia #Ukrai…",2022-06-23 09:00:20+00:00
88,ulrich19713587,"RT @wolff_ernst: #Habeck:""#Putin setzt #Energie als #Waffe ein."" Er befürchtet schlimme Folgen für #Herbst &amp; #Winter und gehört dabei einer…",2022-06-23 08:59:55+00:00
89,V_Faltus,"RT @MarcBach94: Wenn wir einen #Atomkrieg in Europa haben ist es völlig egal, ob ihn #Putin begonnen hat. Es gilt diesen Krieg zu verhinder…",2022-06-23 08:59:49+00:00
90,surser4855,"RT @SharleenLittle4: Putin deliberately provokes hunger in the world!
Moscow, by blocking Ukrainian ports, is striving for global destabili…",2022-06-23 08:59:24+00:00
91,GainMoneyFaster,"RT @GainMoneyFaster: SMART PASSIVE INCOME
Secret tip for money lovers

https://t.co/CLU7gXSmt1

#passive #income #money  #internet #euro #d…",2022-06-23 08:59:24+00:00
92,PamelaWarnstadt,"RT @PamelaWarnstadt: SMART PASSIVE EARNINGS

https://t.co/Kuctf3zAir

#passive #income #money #earn #internet #euro #dollar #stock #exchang…",2022-06-23 08:58:49+00:00
93,satyadaypost,"Russia Ukraine War: 'દિલ્હી'થી નાના દેશે પુતિનને આંખો બતાવી ત્યારે રશિયાએ કહ્યું- આવું દર્દ આપશે...

#Russia #Ukraine #War #Putin https://t.co/0ZBT7r7piP",2022-06-23 08:57:34+00:00
94,GlobalObserve10,"2️⃣ #Putin May #Win in #Ukraine, But the Real War Is Just Starting, Bloomberg, 19 June 2022",2022-06-23 08:56:37+00:00
95,jd_19573011,RT @kiraincongress: We need to make sure that we just take #russian money from all over the world where we can find it and send it to #Ukra…,2022-06-23 08:55:49+00:00
96,pilgerpetrus,"RT @wolff_ernst: Der #ukrainische #Botschafter #Andriij #Melnyk zum #Spiegel: ""#Putin ist wie eine Symbiose aus #Hitler &amp; #Stalin.""
In mein…",2022-06-23 08:55:14+00:00
97,freeriide,"Die #Sanktionen wirken. Sie zwingen Deutschland langsam in die Knie. #Gasversorgung #Gaslieferungen
#Putin
#Russland #Ukraine #Krieg",2022-06-23 08:55:02+00:00
98,tameryazar,"In the darkness of war they are also there...
-
A #Ukrainian service member with a dog observes in the industrial area of the city of #Sievierodonetsk, as #Russia's attack on #Ukraine continues. #Kyiv #Russia #Moscow #Zelensky #Putin @peta @MercyForAnimals https://t.co/X9MMAM5mpM",2022-06-23 08:53:04+00:00
99,KIAAcademYsir,"💡DAY-116 ... Stop WAR  &amp;  Make PEACE ..🕊️

#UkraineRussiaWar #NATO #Ukraine #RussianUkrainianWar #RussiaUkraine   #WARINUKRAINE #putin #Zelenskyy #UkraineUnderAttack #mariupol #Russia #India #Ukraine #Bucha #BuchaMasacre #BuchaGenocide #indianstudentsinukraine https://t.co/vHQrngIdXk",2022-06-23 08:52:37+00:00
100,onesimohere,"Of course, we should not expect justice or compassion from #Putin ""Aiden Aslin: #Ukraine Briton told execution will go ahead @BBCNews - https://t.co/8cPR5IH94j",2022-06-23 08:52:33+00:00
101,KDSmet,"🚴
🚌
🚓
🤕
🤡
🤥🤥🤥🤥🤥🤥🤥🤥🤥🤥🤥🤥

#JayPowell #Inflation #JoeBiden #Putin #PutinPriceHike #Ukraine #UkraineRussiaWar #Powel #Desinformation #JenPsaki https://t.co/gDWvtJqaZF",2022-06-23 08:51:44+00:00
102,Chourasiajyoti1,"#BRICS
#XiJinping during #BricsSummit said, the #conflict in #Ukraine has “sounded an alarm for humanity,"" but proposed no solutions

जिनपिंग ने बुधवार को कहा- ब्रिक्स सम्मेलन तब हो रहा है जब रूसी सैनिक लगातार यूक्रेन पर हमला कर रहे हैं- #reports
#Putin #RussiaUkraineWar #Russia",2022-06-23 08:51:31+00:00
103,tameryazar,"Local residents wait to receive humanitarian aid in front of a residential building that was damaged during the Russian attack, in #Borodyanka, #Kyiv region, #Ukraine ! #Russia #Moscow #Zelensky #Putin https://t.co/X8OU9olxUz",2022-06-23 08:50:37+00:00
